"","ID","Item"
"1",1,"Operations Research Practitioner"
"2",1,"Python"
"3",1,"Blogs"
"4",1,"College/University"
"5",1,"Conferences"
"6",1,"Friends network"
"7",1,"Official documentation"
"8",1,"Online courses"
"9",1,"Personal Projects"
"10",1,"Recommendation Engines"
"11",1,"Reinforcement learning"
"12",1,"Supervised Machine Learning (Tabular Data)"
"13",1,"Survival Analysis"
"14",1,"Time Series"
"15",1,"Unsupervised Learning"
"16",1,"Bayesian Techniques"
"17",1,"Decision Trees - Gradient Boosted Machines"
"18",1,"Decision Trees - Random Forests"
"19",1,"Ensemble Methods"
"20",1,"Evolutionary Approaches"
"21",1,"Gradient Boosting"
"22",1,"Hidden Markov Models HMMs"
"23",1,"Logistic Regression"
"24",1,"Markov Logic Networks"
"25",1,"Neural Networks - CNNs"
"26",1,"Neural Networks - GANs"
"27",1,"Neural Networks - RNNs"
"28",1,"Support Vector Machines (SVMs)"
"29",1,"Bayesian Techniques"
"30",1,"Decision Trees"
"31",1,"Random Forests"
"32",1,"Regression/Logistic Regression"
"33",1,"Amazon Machine Learning"
"34",1,"Amazon Web services"
"35",1,"Cloudera"
"36",1,"Hadoop/Hive/Pig"
"37",1,"Impala"
"38",1,"Java"
"39",1,"Mathematica"
"40",1,"MATLAB/Octave"
"41",1,"Microsoft Excel Data Mining"
"42",1,"Microsoft SQL Server Data Mining"
"43",1,"NoSQL"
"44",1,"Python"
"45",1,"R"
"46",1,"SAS Base"
"47",1,"SAS JMP"
"48",1,"SQL"
"49",1,"Tableau"
"50",1,"A/B Testing"
"51",1,"Bayesian Techniques"
"52",1,"Data Visualization"
"53",1,"Decision Trees"
"54",1,"Ensemble Methods"
"55",1,"Logistic Regression"
"56",1,"Markov Logic Networks"
"57",1,"Naive Bayes"
"58",1,"Neural Networks"
"59",1,"Random Forests"
"60",1,"Simulation"
"61",1,"Time Series Analysis"
"62",2,"Computer Scientist"
"63",2,"R"
"64",2,"Arxiv"
"65",2,"Blogs"
"66",2,"Kaggle"
"67",2,"Personal Projects"
"68",2,"Textbook"
"69",2,"Natural Language Processing"
"70",2,"Supervised Machine Learning (Tabular Data)"
"71",2,"Bayesian Techniques"
"72",2,"Decision Trees - Random Forests"
"73",2,"Logistic Regression"
"74",2,"Support Vector Machines (SVMs)"
"75",2,"C/C++"
"76",2,"Cloudera"
"77",2,"Hadoop/Hive/Pig"
"78",2,"Java"
"79",2,"NoSQL"
"80",2,"R"
"81",2,"Unix shell / awk"
"82",2,"A/B Testing"
"83",2,"Cross-Validation"
"84",2,"Data Visualization"
"85",2,"Decision Trees"
"86",2,"kNN and Other Clustering"
"87",2,"Logistic Regression"
"88",2,"Naive Bayes"
"89",2,"Natural Language Processing"
"90",2,"Segmentation"
"91",2,"SVMs"
"92",2,"Text Analytics"
"93",2,"Time Series Analysis"
"94",3,"DBA/Database Engineer"
"95",3,"R"
"96",3,"Kaggle"
"97",3,"Personal Projects"
"98",3,"Podcasts"
"99",3,"Stack Overflow Q&A"
"100",3,"Trade book"
"101",3,"Supervised Machine Learning (Tabular Data)"
"102",3,"Survival Analysis"
"103",3,"Time Series"
"104",3,"Unsupervised Learning"
"105",3,"Bayesian Techniques"
"106",3,"Decision Trees - Gradient Boosted Machines"
"107",3,"Decision Trees - Random Forests"
"108",3,"Gradient Boosting"
"109",3,"Logistic Regression"
"110",3,"Bayesian Techniques"
"111",3,"Regression/Logistic Regression"
"112",3,"C/C++"
"113",3,"IBM Cognos"
"114",3,"MATLAB/Octave"
"115",3,"Microsoft Excel Data Mining"
"116",3,"Microsoft R Server (Formerly Revolution Analytics)"
"117",3,"Microsoft SQL Server Data Mining"
"118",3,"Perl"
"119",3,"Python"
"120",3,"R"
"121",3,"SQL"
"122",3,"Unix shell / awk"
"123",3,"A/B Testing"
"124",3,"Bayesian Techniques"
"125",3,"Decision Trees"
"126",3,"Naive Bayes"
"127",3,"Random Forests"
"128",4,"Python"
"129",4,"Textbook"
"130",4,"Supervised Machine Learning (Tabular Data)"
"131",4,"Logistic Regression"
"132",5,"Scientist/Researcher"
"133",5,"Java"
"134",5,"Online courses"
"135",5,"Podcasts"
"136",5,"Other"
"137",5,"Reinforcement learning"
"138",5,"Bayesian Techniques"
"139",6,"Researcher"
"140",6,"Python"
"141",6,"Arxiv"
"142",6,"College/University"
"143",6,"Kaggle"
"144",6,"Stack Overflow Q&A"
"145",6,"Textbook"
"146",6,"Tutoring/mentoring"
"147",6,"Adversarial Learning"
"148",6,"Supervised Machine Learning (Tabular Data)"
"149",6,"Unsupervised Learning"
"150",6,"Decision Trees - Gradient Boosted Machines"
"151",6,"Decision Trees - Random Forests"
"152",6,"Ensemble Methods"
"153",6,"Gradient Boosting"
"154",6,"Logistic Regression"
"155",6,"Neural Networks - CNNs"
"156",6,"Neural Networks - GANs"
"157",6,"Support Vector Machines (SVMs)"
"158",6,"CNNs"
"159",6,"Neural Networks"
"160",6,"C/C++"
"161",6,"Jupyter notebooks"
"162",6,"Python"
"163",6,"TensorFlow"
"164",6,"CNNs"
"165",6,"Data Visualization"
"166",6,"Neural Networks"
"167",6,"PCA and Dimensionality Reduction"
"168",7,"Scientist/Researcher"
"169",7,"Matlab"
"170",7,"Arxiv"
"171",7,"Blogs"
"172",7,"Conferences"
"173",7,"Friends network"
"174",7,"Tutoring/mentoring"
"175",7,"Computer Vision"
"176",7,"Machine Translation"
"177",7,"Decision Trees - Random Forests"
"178",7,"Gradient Boosting"
"179",7,"Neural Networks - RNNs"
"180",7,"Support Vector Machines (SVMs)"
"181",7,"CNNs"
"182",7,"Decision Trees"
"183",7,"RNNs"
"184",7,"MATLAB/Octave"
"185",7,"Python"
"186",7,"Cross-Validation"
"187",7,"Data Visualization"
"188",7,"Gradient Boosted Machines"
"189",7,"Random Forests"
"190",8,"Software Developer/Software Engineer"
"191",8,"Matlab"
"192",8,"Online courses"
"193",8,"Personal Projects"
"194",8,"Textbook"
"195",8,"Recommendation Engines"
"196",8,"Time Series"
"197",8,"Logistic Regression"
"198",8,"Support Vector Machines (SVMs)"
"199",8,"SVMs"
"200",8,"Amazon Web services"
"201",8,"Java"
"202",8,"Jupyter notebooks"
"203",8,"MATLAB/Octave"
"204",8,"Microsoft Excel Data Mining"
"205",8,"SAS Enterprise Miner"
"206",8,"Spark / MLlib"
"207",8,"SVMs"
"208",9,"Engineer"
"209",9,"Python"
"210",9,"Kaggle"
"211",9,"Online courses"
"212",9,"Personal Projects"
"213",9,"Stack Overflow Q&A"
"214",9,"Textbook"
"215",9,"Outlier detection (e.g. Fraud detection)"
"216",9,"Supervised Machine Learning (Tabular Data)"
"217",9,"Unsupervised Learning"
"218",9,"Bayesian Techniques"
"219",9,"Decision Trees - Random Forests"
"220",9,"Gradient Boosting"
"221",9,"Logistic Regression"
"222",9,"Neural Networks - CNNs"
"223",9,"Neural Networks - RNNs"
"224",9,"Support Vector Machines (SVMs)"
"225",9,"Regression/Logistic Regression"
"226",9,"MATLAB/Octave"
"227",9,"Python"
"228",9,"R"
"229",9,"SAS JMP"
"230",9,"SQL"
"231",9,"TIBCO Spotfire"
"232",9,"A/B Testing"
"233",9,"Data Visualization"
"234",10,"Software Developer/Software Engineer"
"235",10,"Python"
"236",10,"Arxiv"
"237",10,"Blogs"
"238",10,"Company internal community"
"239",10,"Official documentation"
"240",10,"Online courses"
"241",10,"Personal Projects"
"242",10,"Stack Overflow Q&A"
"243",10,"Textbook"
"244",10,"Outlier detection (e.g. Fraud detection)"
"245",10,"Time Series"
"246",10,"Logistic Regression"
"247",10,"Other (please specify; separate by semi-colon)"
"248",11,"Operations Research Practitioner"
"249",11,"Company internal community"
"250",11,"Textbook"
"251",11,"Adversarial Learning"
"252",11,"Supervised Machine Learning (Tabular Data)"
"253",11,"Unsupervised Learning"
"254",11,"Evolutionary Approaches"
"255",11,"Logistic Regression"
"256",11,"Support Vector Machines (SVMs)"
"257",11,"Python"
"258",11,"kNN and Other Clustering"
"259",11,"Segmentation"
"260",12,"Data Scientist"
"261",12,"Python"
"262",12,"Arxiv"
"263",12,"Blogs"
"264",12,"Personal Projects"
"265",12,"Stack Overflow Q&A"
"266",12,"Textbook"
"267",12,"Supervised Machine Learning (Tabular Data)"
"268",12,"Unsupervised Learning"
"269",12,"Decision Trees - Gradient Boosted Machines"
"270",12,"Decision Trees - Random Forests"
"271",12,"Ensemble Methods"
"272",12,"Gradient Boosting"
"273",12,"Logistic Regression"
"274",12,"Decision Trees"
"275",12,"Ensemble Methods"
"276",12,"Gradient Boosted Machines"
"277",12,"Random Forests"
"278",12,"Regression/Logistic Regression"
"279",12,"Amazon Web services"
"280",12,"Hadoop/Hive/Pig"
"281",12,"Julia"
"282",12,"Jupyter notebooks"
"283",12,"R"
"284",12,"SAS Base"
"285",12,"SAS Enterprise Miner"
"286",12,"SQL"
"287",12,"Unix shell / awk"
"288",12,"Cross-Validation"
"289",12,"Data Visualization"
"290",12,"Decision Trees"
"291",12,"Ensemble Methods"
"292",12,"Gradient Boosted Machines"
"293",12,"Lift Analysis"
"294",12,"Logistic Regression"
"295",12,"PCA and Dimensionality Reduction"
"296",12,"Random Forests"
"297",12,"Segmentation"
"298",13,"Scientist/Researcher"
"299",13,"Python"
"300",13,"Arxiv"
"301",13,"Blogs"
"302",13,"Conferences"
"303",13,"Stack Overflow Q&A"
"304",13,"Textbook"
"305",13,"Outlier detection (e.g. Fraud detection)"
"306",13,"Supervised Machine Learning (Tabular Data)"
"307",13,"Time Series"
"308",13,"Unsupervised Learning"
"309",13,"Decision Trees - Gradient Boosted Machines"
"310",13,"Decision Trees - Random Forests"
"311",13,"Ensemble Methods"
"312",13,"Gradient Boosting"
"313",13,"Logistic Regression"
"314",13,"Neural Networks - CNNs"
"315",13,"Support Vector Machines (SVMs)"
"316",13,"Decision Trees"
"317",13,"Ensemble Methods"
"318",13,"Random Forests"
"319",13,"Regression/Logistic Regression"
"320",13,"SVMs"
"321",13,"C/C++"
"322",13,"Jupyter notebooks"
"323",13,"Microsoft Excel Data Mining"
"324",13,"NoSQL"
"325",13,"Python"
"326",13,"R"
"327",13,"SQL"
"328",13,"Unix shell / awk"
"329",13,"Cross-Validation"
"330",13,"Data Visualization"
"331",13,"Decision Trees"
"332",13,"Ensemble Methods"
"333",13,"kNN and Other Clustering"
"334",13,"Logistic Regression"
"335",13,"PCA and Dimensionality Reduction"
"336",13,"Random Forests"
"337",13,"Segmentation"
"338",13,"Simulation"
"339",13,"SVMs"
"340",14,"Other"
"341",14,"Python"
"342",14,"Blogs"
"343",14,"Kaggle"
"344",14,"Official documentation"
"345",14,"Online courses"
"346",14,"Personal Projects"
"347",14,"Stack Overflow Q&A"
"348",14,"Textbook"
"349",14,"Supervised Machine Learning (Tabular Data)"
"350",14,"Time Series"
"351",14,"Unsupervised Learning"
"352",14,"Bayesian Techniques"
"353",14,"Decision Trees - Random Forests"
"354",14,"Ensemble Methods"
"355",14,"Logistic Regression"
"356",14,"Support Vector Machines (SVMs)"
"357",14,"Ensemble Methods"
"358",14,"Gradient Boosted Machines"
"359",14,"Random Forests"
"360",14,"Regression/Logistic Regression"
"361",14,"Amazon Web services"
"362",14,"Java"
"363",14,"Jupyter notebooks"
"364",14,"MATLAB/Octave"
"365",14,"NoSQL"
"366",14,"Python"
"367",14,"R"
"368",14,"SQL"
"369",14,"Bayesian Techniques"
"370",14,"Collaborative Filtering"
"371",14,"Cross-Validation"
"372",14,"Data Visualization"
"373",14,"Decision Trees"
"374",14,"Ensemble Methods"
"375",14,"Gradient Boosted Machines"
"376",14,"kNN and Other Clustering"
"377",14,"Logistic Regression"
"378",14,"Naive Bayes"
"379",14,"PCA and Dimensionality Reduction"
"380",14,"Random Forests"
"381",14,"Time Series Analysis"
"382",15,"Researcher"
"383",15,"Stata"
"384",15,"College/University"
"385",15,"Kaggle"
"386",15,"Personal Projects"
"387",15,"Stack Overflow Q&A"
"388",15,"Textbook"
"389",15,"Outlier detection (e.g. Fraud detection)"
"390",15,"Survival Analysis"
"391",15,"Decision Trees - Gradient Boosted Machines"
"392",15,"Decision Trees - Random Forests"
"393",15,"Ensemble Methods"
"394",15,"Gradient Boosting"
"395",15,"Logistic Regression"
"396",15,"Neural Networks - CNNs"
"397",15,"Support Vector Machines (SVMs)"
"398",15,"Regression/Logistic Regression"
"399",15,"R"
"400",15,"Cross-Validation"
"401",15,"Logistic Regression"
"402",15,"Simulation"
"403",15,"Time Series Analysis"
"404",16,"Scientist/Researcher"
"405",16,"Python"
"406",16,"Personal Projects"
"407",16,"Adversarial Learning"
"408",16,"Computer Vision"
